accuracy,dropout,fps,helmet_remove_f1,helmet_remove_fn,helmet_remove_fnr,helmet_remove_fp,helmet_remove_fpr,helmet_remove_pr_auc,helmet_remove_precision,helmet_remove_recall,helmet_remove_tp,joint_group,macro_f1,macro_precision,macro_recall,pitch_deg,yaw_deg
0.8571428571428571,,8,0.9333333333333333,1,0.125,0,0.0,1.0,1.0,0.875,7,,0.4606060606060606,0.5,0.42708333333333337,,
1.0,,10,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,,
0.9285714285714286,,15,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,0.6363636363636364,0.6666666666666666,0.6111111111111112,,
1.0,,24,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,,
1.0,,30,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,,
0.7857142857142857,,60,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,0.41666666666666663,0.5,0.375,,
1.0,0.1,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,left_wrist,1.0,1.0,1.0,,
1.0,0.2,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,left_wrist,1.0,1.0,1.0,,
1.0,0.3,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,left_wrist,1.0,1.0,1.0,,
1.0,0.4,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,left_wrist,1.0,1.0,1.0,,
1.0,0.1,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,right_wrist,1.0,1.0,1.0,,
1.0,0.2,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,right_wrist,1.0,1.0,1.0,,
1.0,0.3,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,right_wrist,1.0,1.0,1.0,,
1.0,0.4,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,right_wrist,1.0,1.0,1.0,,
1.0,0.1,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,both_wrists,1.0,1.0,1.0,,
1.0,0.2,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,both_wrists,1.0,1.0,1.0,,
1.0,0.3,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,both_wrists,1.0,1.0,1.0,,
1.0,0.4,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,both_wrists,1.0,1.0,1.0,,
1.0,0.1,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,left_ear,1.0,1.0,1.0,,
1.0,0.2,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,left_ear,1.0,1.0,1.0,,
1.0,0.3,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,left_ear,1.0,1.0,1.0,,
1.0,0.4,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,left_ear,1.0,1.0,1.0,,
1.0,0.1,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,right_ear,1.0,1.0,1.0,,
1.0,0.2,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,right_ear,1.0,1.0,1.0,,
1.0,0.3,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,right_ear,1.0,1.0,1.0,,
1.0,0.4,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,right_ear,1.0,1.0,1.0,,
1.0,0.1,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,both_ears,1.0,1.0,1.0,,
1.0,0.2,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,both_ears,1.0,1.0,1.0,,
1.0,0.3,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,both_ears,1.0,1.0,1.0,,
1.0,0.4,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,both_ears,1.0,1.0,1.0,,
1.0,0.1,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,one_elbow,1.0,1.0,1.0,,
1.0,0.2,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,one_elbow,1.0,1.0,1.0,,
1.0,0.3,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,one_elbow,1.0,1.0,1.0,,
1.0,0.4,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,one_elbow,1.0,1.0,1.0,,
1.0,0.1,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,head_keypoints,1.0,1.0,1.0,,
1.0,0.2,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,head_keypoints,1.0,1.0,1.0,,
1.0,0.3,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,head_keypoints,1.0,1.0,1.0,,
1.0,0.4,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,head_keypoints,1.0,1.0,1.0,,
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,20,
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,30,
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,40,
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,50,
0.9166666666666666,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,0.6190476190476191,0.6666666666666666,0.5833333333333334,60,
0.9166666666666666,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,0.6190476190476191,0.6666666666666666,0.5833333333333334,70,
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,,-60
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,,-40
0.9166666666666666,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,0.6190476190476191,0.6666666666666666,0.5833333333333334,,-20
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,,0
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,,20
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,,40
1.0,,,1.0,0,0.0,0,0.0,1.0,1.0,1.0,8,,1.0,1.0,1.0,,60
