accuracy,feature_dimension,feature_version,helmet_remove_f1,helmet_remove_fn,helmet_remove_fnr,helmet_remove_fp,helmet_remove_fpr,helmet_remove_pr_auc,helmet_remove_precision,helmet_remove_recall,helmet_remove_tp,macro_f1,macro_precision,macro_recall,model_path,n_test,n_train,seed
0.9455,139,v1,0.9840142095914743,3,0.010714285714285714,6,0.0034883720930232558,0.9982882561013247,0.9787985865724381,0.9892857142857143,277,0.9472307987483451,0.9517707457366426,0.9448086859377182,outputs/evaluation/runs/model_seed_42_v1.joblib,2000,6400,42
0.971,194,v2,0.9874776386404294,4,0.014285714285714285,3,0.0017441860465116279,0.9982517391541136,0.989247311827957,0.9857142857142858,276,0.9720058538132841,0.969038049768004,0.9754857661539689,outputs/evaluation/runs/model_seed_42_v2.joblib,2000,6400,42
0.9515,139,v1,0.9766606822262119,8,0.02857142857142857,5,0.0029069767441860465,0.9975891424105227,0.9819494584837545,0.9714285714285714,272,0.9525246865021473,0.9533866296125435,0.9522250982504439,outputs/evaluation/runs/model_seed_101_v1.joblib,2000,6400,101
0.956,194,v2,0.9750889679715302,6,0.02142857142857143,8,0.004651162790697674,0.9955096681310978,0.9716312056737588,0.9785714285714285,274,0.9565171230695456,0.9579022398841912,0.9565710595088477,outputs/evaluation/runs/model_seed_101_v2.joblib,2000,6400,101
0.9455,139,v1,0.9702276707530648,3,0.010714285714285714,14,0.00813953488372093,0.9976422147149513,0.9518900343642611,0.9892857142857143,277,0.9486491282896251,0.9507056708373688,0.9473499810481377,outputs/evaluation/runs/model_seed_202_v1.joblib,2000,6400,202
0.972,194,v2,0.980461811722913,4,0.014285714285714285,7,0.004069767441860465,0.9970945161360185,0.9752650176678446,0.9857142857142858,276,0.9747213312136548,0.9747000286469644,0.975414696670457,outputs/evaluation/runs/model_seed_202_v2.joblib,2000,6400,202
0.929,139,v1,0.9679715302491102,8,0.02857142857142857,10,0.005813953488372093,0.9923299266599732,0.9645390070921985,0.9714285714285714,272,0.9324555432052944,0.9434535412655799,0.9257610668900992,outputs/evaluation/runs/model_seed_303_v1.joblib,2000,6400,303
0.9635,194,v2,0.9696969696969696,8,0.02857142857142857,9,0.005232558139534884,0.9943767214577449,0.9679715302491103,0.9714285714285714,272,0.9641465890407532,0.9638613598617736,0.9647794601711652,outputs/evaluation/runs/model_seed_303_v2.joblib,2000,6400,303
0.954,139,v1,0.9909909909909909,5,0.017857142857142856,0,0.0,0.9981535596459622,1.0,0.9821428571428571,275,0.957977832256042,0.9605233316448293,0.9561241945458534,outputs/evaluation/runs/model_seed_404_v1.joblib,2000,6400,404
0.9675,194,v2,0.9946332737030412,2,0.007142857142857143,1,0.0005813953488372093,0.9999107103703568,0.996415770609319,0.9928571428571429,278,0.9675447892956386,0.9654131365099884,0.9707610170167774,outputs/evaluation/runs/model_seed_404_v2.joblib,2000,6400,404
